TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TO FREQ,SF FREQ,"AND ONE
FREQ",SCORE FREQ,PERCENTILE
Boston Celtics,56,399,6.5%,0.99,394,146,359,40.7,50.4,5.5%,5.3%,4.8%,0.8%,40.9%,72.4
Sacramento Kings,57,327,5.4%,0.98,322,123,275,44.7,51.8,9.2%,8.6%,8.6%,2.4%,43.7%,69
Denver Nuggets,56,255,4.0%,0.92,235,84,224,37.5,47.5,5.5%,8.2%,5.5%,1.6%,36.9%,34.5
Atlanta Hawks,56,425,6.9%,0.93,397,147,363,40.5,49,6.4%,9.6%,6.4%,1.6%,39.3%,41.4
Chicago Bulls,56,246,4.0%,0.91,225,80,215,37.2,44.2,9.8%,5.7%,9.8%,3.3%,38.6%,27.6
Washington Wizards,55,451,7.4%,0.92,414,168,400,42,47.9,4.9%,7.1%,5.1%,1.1%,40.8%,31
Los Angeles Clippers,56,320,5.2%,0.95,304,114,286,39.9,48.1,5.0%,5.9%,4.7%,0.3%,40.3%,51.7
Minnesota Timberwolves,57,210,3.4%,1.05,220,78,188,41.5,51.9,7.1%,3.8%,7.6%,1.4%,42.9%,89.7
Dallas Mavericks,56,556,9.8%,0.96,532,199,505,39.4,48.9,4.9%,5.4%,4.7%,1.1%,39.4%,62.1
Oklahoma City Thunder,57,141,2.2%,1.04,146,56,118,47.5,54.2,9.2%,7.8%,7.8%,0.7%,46.8%,86.2
Philadelphia 76ers,56,272,4.4%,0.88,238,84,225,37.3,45.6,7.7%,10.7%,7.7%,1.1%,37.5%,13.8
Houston Rockets,58,244,3.7%,0.97,236,90,208,43.3,51.7,5.3%,10.7%,4.9%,1.2%,41.0%,65.5
Indiana Pacers,57,449,7.2%,0.93,417,160,402,39.8,47.8,4.7%,6.5%,4.2%,0.7%,39.0%,37.9
Portland Trail Blazers,56,402,6.5%,0.91,364,143,354,40.4,46.8,5.7%,7.7%,5.7%,1.5%,39.8%,17.2
Golden State Warriors,56,877,14.1%,1.07,938,360,772,46.6,55,7.0%,7.2%,6.6%,2.2%,45.7%,96.6
Miami Heat,57,265,4.3%,1.05,279,115,240,47.9,56.5,3.4%,7.2%,3.4%,1.1%,45.3%,93.1
New Orleans Pelicans,57,314,4.9%,0.76,240,93,280,33.2,37.9,5.7%,5.7%,5.7%,0.6%,34.4%,0
Toronto Raptors,57,322,5.3%,0.95,306,109,277,39.4,46.2,8.4%,6.5%,8.1%,0.9%,41.0%,55.2
Los Angeles Lakers,58,330,5.1%,1,331,117,298,39.3,49.8,5.8%,4.2%,4.2%,0.3%,40.6%,79.3
Brooklyn Nets,56,286,4.6%,0.77,219,76,230,33,39.6,8.4%,11.5%,7.3%,0.3%,34.3%,3.4
Detroit Pistons,57,200,3.3%,0.85,169,68,180,37.8,43.3,4.0%,6.0%,4.0%,0.0%,37.5%,6.9
Memphis Grizzlies,58,339,5.5%,0.95,322,116,307,37.8,47.2,5.9%,5.0%,4.7%,1.5%,38.6%,48.3
Cleveland Cavaliers,55,303,5.1%,1,302,111,277,40.1,52,3.6%,5.6%,3.3%,0.7%,38.9%,75.9
Phoenix Suns,57,327,5.0%,0.86,280,101,276,36.6,42.4,9.5%,7.0%,8.0%,0.9%,38.8%,10.3
New York Knicks,57,314,4.9%,0.94,295,116,271,42.8,48.2,6.4%,7.6%,5.7%,0.6%,42.7%,44.8
Milwaukee Bucks,55,202,3.4%,0.91,183,72,175,41.1,47.4,6.4%,8.9%,6.4%,2.0%,40.1%,20.7
Orlando Magic,58,396,6.2%,0.91,362,130,341,38.1,46.6,6.6%,8.1%,6.6%,0.8%,38.6%,24.1
San Antonio Spurs,56,269,4.5%,1,270,98,237,41.4,50.2,7.1%,5.6%,5.6%,0.7%,42.8%,82.8
Charlotte Hornets,56,451,7.4%,0.96,431,156,402,38.8,46.8,7.5%,5.1%,6.9%,1.8%,40.4%,58.6
Utah Jazz,57,316,5.4%,1.07,338,125,278,45,55.9,5.7%,7.6%,5.1%,1.3%,44.0%,100
